City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,constantia,44.1833,28.65,48.88,73,46,7.29,RO,1698883307
1,cabo san lucas,22.8909,-109.9124,85.6,65,20,9.22,MX,1698883599
2,greymouth,-42.4667,171.2,56.41,92,96,12.26,NZ,1698883600
3,serowe,-22.3833,26.7167,54.63,86,98,11.7,BW,1698883600
4,inari,68.906,27.0288,23.2,97,91,4.99,FI,1698883600
5,avarua,-21.2078,-159.775,77.05,69,75,16.11,CK,1698883600
6,waitangi,-43.9535,-176.5597,57.81,97,100,10.0,NZ,1698883338
7,port-aux-francais,-49.35,70.2167,39.0,82,53,30.27,TF,1698883600
8,bethel,41.3712,-73.414,41.02,81,20,0.0,US,1698883601
9,grytviken,-54.2811,-36.5092,30.88,76,10,8.97,GS,1698883601
10,whitehorse,60.7161,-135.0538,33.31,89,20,8.01,CA,1698883601
11,conception bay south,47.4999,-52.9981,41.67,94,100,17.98,CA,1698883443
12,anadyr,64.75,177.4833,30.7,93,75,2.24,RU,1698883601
13,edinburgh of the seven seas,-37.0676,-12.3116,58.08,93,28,11.43,SH,1698883601
14,wailua homesteads,22.0669,-159.378,82.83,73,9,4.0,US,1698883384
15,ushuaia,-54.8,-68.3,44.26,53,0,20.71,AR,1698883541
16,hermanus,-34.4187,19.2345,61.32,85,100,16.04,ZA,1698883601
17,tazovsky,67.4667,78.7,8.42,93,99,8.88,RU,1698883602
18,adamstown,-25.066,-130.1015,73.27,74,14,14.76,PN,1698883602
19,pacific grove,36.6177,-121.9166,79.36,46,0,3.44,US,1698883508
20,ilulissat,69.2167,-51.1,39.22,45,81,24.16,GL,1698883602
21,portland,45.5234,-122.6762,51.28,93,100,4.61,US,1698883602
22,mandali,33.7499,45.5541,74.37,45,93,6.82,IQ,1698883602
23,selfoss,63.9331,-20.9971,34.05,52,0,15.23,IS,1698883603
24,arrifes,37.7667,-25.7,68.92,94,75,19.57,PT,1698883603
25,kodiak,57.79,-152.4072,45.91,100,100,21.85,US,1698883603
26,atafu village,-8.5421,-172.5159,84.43,69,95,8.03,TK,1698883603
27,port elizabeth,-33.918,25.5701,62.31,89,100,8.34,ZA,1698883603
28,karasuk,53.7377,78.0403,23.92,92,100,12.88,RU,1698883604
29,chonchi,-42.6128,-73.8092,60.01,81,5,0.83,CL,1698883373
30,bilibino,68.0546,166.4372,2.26,97,84,3.74,RU,1698883604
31,west island,-12.1568,96.8225,78.78,78,100,16.11,CC,1698883348
32,chinchilla,-26.75,150.6333,77.32,40,0,13.47,AU,1698883604
33,puerto natales,-51.7236,-72.4875,41.45,84,91,4.16,CL,1698883353
34,daru,-9.0763,143.2092,81.37,76,99,8.86,PG,1698883604
35,utrik,11.2278,169.8474,81.57,80,33,14.9,MH,1698883604
36,invercargill,-46.4,168.35,57.02,82,99,1.01,NZ,1698883604
37,kayangel,8.0823,134.7173,83.95,74,87,8.41,PW,1698883604
38,anadarko,35.0726,-98.2437,49.8,55,0,9.86,US,1698883605
39,fomboni,-12.28,43.7425,80.35,76,9,6.26,KM,1698883605
40,margaret river,-33.95,115.0667,61.2,68,60,12.68,AU,1698883343
41,mili,6.0815,171.735,82.94,74,83,9.35,MH,1698883605
42,nar'yan-mar,67.6713,53.087,13.1,97,41,5.99,RU,1698883605
43,baiti,13.745,-14.7482,81.03,68,0,10.56,SN,1698883605
44,susuman,62.7833,148.1667,8.98,92,100,3.0,RU,1698883605
45,gebeit,21.0667,36.3167,73.99,68,0,6.93,SD,1698883606
46,semey,50.4111,80.2275,35.4,79,100,16.53,KZ,1698883606
47,klyuchi,52.2667,79.1667,31.14,82,100,13.62,RU,1698883606
48,puerto madero,14.7208,-92.4215,80.8,100,40,0.0,MX,1698883606
49,tura,25.5198,90.2201,66.74,84,31,3.27,IN,1698883606
50,stanley,54.868,-1.6985,42.28,91,0,3.44,GB,1698883546
51,college,64.8569,-147.8028,32.9,80,75,0.0,US,1698883606
52,iqaluit,63.7506,-68.5145,22.73,85,75,11.5,CA,1698883372
53,olonkinbyen,70.9221,-8.7187,31.37,89,100,9.22,SJ,1698883607
54,tiksi,71.6872,128.8694,15.66,95,100,13.91,RU,1698883607
55,boguchany,58.3814,97.4531,11.86,59,12,4.0,RU,1698883607
56,puerto ayora,-0.7393,-90.3518,75.54,92,48,7.0,EC,1698883413
57,volgorechensk,57.4393,41.1555,43.21,95,100,8.39,RU,1698883607
58,ust-nera,64.5667,143.2,5.63,97,100,5.55,RU,1698883374
59,puerto baquerizo moreno,-0.9,-89.6,74.91,77,63,12.97,EC,1698883607
60,kolokani,13.5728,-8.0339,78.94,14,58,5.77,ML,1698883607
61,sandnessjoen,66.0217,12.6316,25.32,69,99,14.83,NO,1698883608
62,las palmas,28.4204,-14.0131,72.39,78,75,12.66,ES,1698883608
63,holualoa,19.6228,-155.9522,81.77,79,32,5.99,US,1698883323
64,ghadamis,30.1337,9.5007,76.55,21,29,7.09,LY,1698883608
65,petropavlovsk-kamchatsky,53.0452,158.6483,34.45,63,100,4.47,RU,1698883608
66,harper,4.375,-7.7169,77.58,89,25,5.21,LR,1698883608
67,newman,37.3138,-121.0208,75.54,32,45,0.87,US,1698883608
68,kalaoa,19.7286,-155.9817,80.31,76,20,10.36,US,1698883526
69,saipan,15.1355,145.701,83.62,74,51,14.27,MP,1698883390
70,smithers,54.7804,-127.1743,39.09,69,92,0.89,CA,1698883608
71,bonthe,7.5264,-12.505,77.85,85,22,4.45,SL,1698883609
72,devrek,41.2192,31.9558,59.54,77,5,3.15,TR,1698883609
73,loen,7.7601,168.2307,82.71,76,100,7.87,MH,1698883609
74,rabigh,22.7986,39.0349,85.91,61,84,1.97,SA,1698883609
75,ourem,39.6417,-8.5919,65.46,86,82,13.94,PT,1698883609
76,komsomolets,53.7453,62.0708,44.56,92,97,15.55,KZ,1698883609
77,alofi,-19.0595,-169.9187,75.69,87,56,20.76,NU,1698883609
78,okhotsk,59.3833,143.3,31.24,83,100,6.42,RU,1698883609
79,ta`u,-14.2336,-169.5144,79.66,82,95,21.03,AS,1698883610
80,talcahuano,-36.7167,-73.1167,49.91,83,9,9.22,CL,1698883610
81,ribeira grande,38.5167,-28.7,65.77,83,67,11.99,PT,1698883610
82,uturoa,-16.7333,-151.4333,78.46,81,47,23.22,PF,1698883610
83,oral,51.2333,51.3667,46.45,74,61,9.46,KZ,1698883610
84,nemuro,43.3236,145.575,53.26,79,100,22.17,JP,1698883479
85,blackmans bay,-43.0167,147.3167,62.53,54,74,4.0,AU,1698883610
86,san fernando,15.0286,120.6898,82.13,89,96,6.31,PH,1698883611
87,wurselen,50.8167,6.1333,51.75,80,75,6.91,DE,1698883611
88,codrington,-38.2667,141.9667,58.66,61,91,10.87,AU,1698883501
89,alice springs,-23.7,133.8833,80.15,34,99,10.36,AU,1698883611
90,junction city,39.0286,-96.8314,47.39,50,0,6.91,US,1698883612
91,newtown,-33.8984,151.1775,71.04,58,75,19.57,AU,1698883612
92,braganca paulista,-22.94,-46.5556,62.24,89,95,9.66,BR,1698883612
